gamma,2nd_idle_error_N_4,2nd_idle_error_N_6,2nd_idle_error_N_8
1.8302818455567964,0.001743976448746519,0.01326023016159841,0.0200023400550353
1.846197339865986,0.0015563902206034966,0.013033609661427319,0.01983494434685303
1.8621128341751756,0.0013746841965288053,0.012807710236252046,0.019667120666589377
1.878028328484365,0.001198888003807379,0.012582579294335464,0.01949888981697214
1.8939438227935546,0.001029026977288385,0.012358263943951836,0.019330273957783854
1.909859317102744,0.0008651222286874383,0.01213481062122419,0.019161295848460675
1.925774811411934,0.0007071906522297679,0.011912265628437094,0.018991976933245443
1.9416903057211234,0.0005552449321125671,0.01169067491902212,0.018822339127777744
1.957605800030313,0.0004092935498730074,0.01147008299204463,0.01865240447530916
1.9735212943395024,0.0002693408603352563,0.011250535377113154,0.018482194833083457
1.9894367886486917,0.00013538699709700168,0.011032076244991898,0.018311732050894487
2.0053522829578814,7.428017521941571e-06,0.010814748740324882,0.01814103808896435
2.021267777267071,0.0001145441311277847,0.010598597975940316,0.01797013481101827
2.0371832715762603,0.00023054156633081407,0.010383665141977161,0.017799044002998452
2.05309876588545,0.00034058043619506796,0.010169993088653354,0.017627787619424108
2.0690142601946393,0.0004446808839094243,0.00995762375824178,0.01745638733392329
2.084929754503829,0.0005428670059469386,0.009746597790412858,0.0172848650056616
2.1008452488130187,0.0006351668068909184,0.009536956525239653,0.01711324228890565
2.116760743122208,0.0007216121611648959,0.00932873992796162,0.01694154094118903
2.1326762374313977,0.0008022387563672004,0.009121987352666604,0.016769781607759948
2.148591731740587,0.0008770860486837689,0.008916738024511739,0.01659798873280735
2.164507226049777,0.0009461972051566705,0.008713029901807575,0.0164261810906209
2.1804227203589663,0.001009619046884758,0.008510901106232854,0.016254381050162046
2.196338214668156,0.001067401995204168,0.008310388688979084,0.016082609970653156
2.2122537089773453,0.001119600005526887,0.008111529080304151,0.01591088946616977
2.228169203286535,0.0011662705045669154,0.007914358159876733,0.015739240644087098
2.2440846975957247,0.0012074743310772206,0.007718911231208437,0.01556768479360556
2.260000191904914,0.001243275651757746,0.0075252228663047465,0.015396242423363522
2.2759156862141037,0.0012737419081439716,0.007333326814770208,0.015224936665855544
2.291831180523293,0.001298943734689408,0.007143256678622755,0.01505378645945539
2.3077466748324826,0.0013189548853681982,0.0069550446971247785,0.014882813525107631
2.3236621691416723,0.0013338521576762507,0.006768722875809566,0.014712038571307264
2.3395776634508616,0.0013437153093608164,0.006584322424816556,0.014541481983082064
2.3554931577600513,0.0013486269940684156,0.00640187376040653,0.014371165760206814
2.3714086520692406,0.0013486726522404292,0.006221406754861235,0.01420110917532827
2.3873241463784303,0.0013439404406417475,0.006042950468010236,0.01403133316731553
2.40323964068762,0.0013345211746990538,0.005866533218831267,0.013861858015569039
2.4191551349968092,0.00132050814632092,0.005692182652482793,0.013692703992350206
2.435070629305999,0.0013019972448961076,0.005519925640690131,0.013523891329570154
2.450986123615188,0.001279086532162845,0.00534978837914338,0.013355440066515161
2.466901617924378,0.001251876474206172,0.005181796253432816,0.013187370113307579
2.4828171122335676,0.001220469676314823,0.005015973931139919,0.013019701323314037
2.498732606542757,0.0011849708355552528,0.004852345312922287,0.012852453415267808
2.5146481008519466,0.001145486638113835,0.004690933565839376,0.01268564576422949
2.530563595161136,0.001102125658688869,0.004531761056659656,0.012519298051121728
2.5464790894703255,0.0010549982727616667,0.004374849414796844,0.01235342950202368
2.5623945837795152,0.0010042165508865931,0.0042202194628771245,0.012188059311990518
2.5783100780887045,0.0009498941635253023,0.004067891332844065,0.01202320660089173
2.594225572397894,0.0008921462795780308,0.00391788425780478,0.011858890067669698
2.610141066707084,0.0008310894662701664,0.003770216778880888,0.011695128750305336
2.626056561016273,0.0007668415880212235,0.003624906614386965,0.011531940986276683
2.641972055325463,0.0006995217058773141,0.0034819706953040357,0.011369345425648188
2.657887549634652,0.0006292499744299277,0.003341425187158066,0.011207360430062275
2.673803043943842,0.0005561475415361146,0.0032032854362399697,0.011046004071489672
2.6897185382530315,0.00048033644462516784,0.003067566019959523,0.010885294424460202
2.705634032562221,0.00040193950484365736,0.002934280696898559,0.010725249323762079
2.7215495268714105,0.00032108023549161493,0.0028034424418811633,0.010565886455254664
2.7374650211805998,0.0002378827265085856,0.0026750634368252414,0.010407223334944607
2.7533805154897895,0.0001524715504126959,0.002549155055370644,0.01024927737700833
2.769296009798979,6.497165719289751e-05,0.002425727928139551,0.010092065739783121
2.7852115041081684,2.4491725880757056e-05,0.0023047916873615445,0.009935605482877087
2.801126998417358,0.00011579319782386137,0.0021863554630204927,0.009779913382565742
2.8170424927265474,0.00020880728293264333,0.002070427389782168,0.00962500620061688
2.832957987035737,0.00030340853236824554,0.0019570148774940804,0.00947090043145682
2.848873481344927,0.00039947162353868096,0.001846124446027033,0.009317612272273493
2.864788975654116,0.000496871459867325,0.0017377619540073295,0.009165158331096523
2.8807044699633058,0.0005954832673304729,0.0016319323804869098,0.009013553396827228
2.896619964272495,0.0006951826947829833,0.0015286399236360156,0.008862814348803634
2.9125354585816847,0.0007958459075083902,0.0014278880156867871,0.00871295639761982
2.9284509528908744,0.0008973496895954704,0.0013296792671856786,0.008563994916283419
2.9443664472000637,0.0009995715240065865,0.001234015522813933,0.008415945020629291
2.9602819415092534,0.0011023897047907,0.0011408978381650518,0.008268821743175909
2.9761974358184426,0.0012056834150403985,0.001050326489504837,0.008122639830867442
2.9921129301276324,0.001309332823812489,0.0009623009743723576,0.007977413881515167
3.0080284244368225,0.0014132191815435897,0.0008768200148901071,0.007833158215195096
3.0239439187460113,0.001517224872535274,0.0007938815658488591,0.007689887097231873
3.0398594130552015,0.0016212335644230323,0.0007134828128363506,0.0075476144167658426
3.055774907364391,0.0017251302673286818,0.0006356201820700975,0.007406353932352551
3.0716904016735804,0.0018288013578893047,0.0005602893375504316,0.007266119193227135
3.08760589598277,0.0019321347633981967,0.00048748519334575446,0.007126923517771233
3.103521390291959,0.0020350199583169387,0.00041720191302170367,0.006988780028734383
3.119436884601149,0.002137348096411856,0.00034943291875530697,0.006851701604221588
3.135352378910339,0.002239012053279018,0.0002841708861003706,0.006715700905294237
3.151267873219528,0.0023399065189388182,0.00022140778878570447,0.006580790489456511
3.1671833675287178,0.0024399280649100644,0.0001611348288855797,0.006446981999144814
3.183098861837907,0.002538975218775334,0.00010334251658781525,0.006314288918139846
3.1990143561470967,0.002636948511812671,4.802064609568998e-05,0.006182721598047086
3.2149298504562864,0.002733750595434037,4.841708975900662e-06,0.006052292109417717
