gamma,1st_error_N_4,1st_error_N_6,1st_error_N_8
0.4153944014698468,0.12184556150236,0.127784246913227,0.130154572040374
0.4169859509007658,0.12175958224245,0.127742107628427,0.130130316116991
0.4185775003316847,0.121673307915802,0.127699814276025,0.13010596971507
0.4201690497626037,0.121586738902549,0.127657366936307,0.130081532860559
0.42176059919352266,0.121499875584164,0.127614765689847,0.130057005579502
0.42335214862444165,0.121412718343457,0.127572010617513,0.130032387898036
0.42494369805536053,0.121325267564576,0.127529101800464,0.130007679842397
0.4265352474862795,0.121237523633,0.12748603932015,0.129982881438918
0.42812679691719846,0.121149486935547,0.127442823258311,0.129957992714025
0.42971834634811745,0.121061157860365,0.12739945369698,0.129933013694242
0.4313098957790364,0.120972536796934,0.127355930718479,0.129907944406188
0.4329014452099554,0.120883624136065,0.127312254405422,0.12988278487658
0.43449299464087426,0.120794420269898,0.12726842484071,0.129857535132227
0.43608454407179326,0.120704925591904,0.12722444210754,0.129832195200039
0.4376760935027122,0.120615140496879,0.127180306289393,0.129806765107017
0.4392676429336312,0.120525065380946,0.127136017470044,0.129781244880261
0.4408591923645501,0.120434700641553,0.127091575733557,0.129755634546965
0.4424507417954691,0.120344046677472,0.127046981164284,0.129729934134421
0.444042291226388,0.120253103888799,0.127002233846867,0.129704143670014
0.445633840657307,0.12016187267695,0.126957333866238,0.129678263181227
0.4472253900882259,0.120070353444664,0.126912281307618,0.129652292695636
0.44881693951914486,0.119978546595997,0.126867076256517,0.129626232240916
0.45040848895006386,0.119886452536327,0.126821718798732,0.129600081844835
0.45200003838098274,0.119794071672346,0.126776209020351,0.129573841535257
0.45359158781190173,0.119701404412064,0.126730547007749,0.129547511340144
0.45518313724282067,0.119608451164807,0.12668473284759,0.129521091287549
0.45677468667373966,0.119515212341212,0.126638766626824,0.129494581405625
0.45836623610465854,0.119421688353233,0.126592648432691,0.129467981722618
0.45995778553557753,0.119327879614133,0.126546378352719,0.129441292266869
0.46154933496649647,0.119233786538487,0.126499956474722,0.129414513066816
0.46314088439741546,0.11913940954218,0.126453382886803,0.129387644150991
0.4647324338283344,0.119044749042403,0.126406657677349,0.129360685548023
0.4663239832592534,0.118949805457658,0.126359780935039,0.129333637286634
0.4679155326901723,0.11885457920775,0.126312752748834,0.129306499395643
0.46950708212109127,0.118759070713793,0.126265573207985,0.129279271903963
0.4710986315520102,0.118663280398201,0.126218242402027,0.129251954840604
0.4726901809829292,0.118567208684695,0.126170760420784,0.129224548234669
0.47428173041384813,0.118470855998294,0.126123127354364,0.129197052115357
0.4758732798447671,0.11837422276532,0.126075343293162,0.129169466511963
0.477464829275686,0.118277309413395,0.126027408327858,0.129141791453876
0.479056378706605,0.118180116371439,0.125979322549418,0.12911402697058
0.48064792813752394,0.118082644069668,0.125931086049094,0.129086173091653
0.48223947756844293,0.117984892939597,0.125882698918423,0.129058229846771
0.48383102699936187,0.117886863414035,0.125834161249227,0.129030197265702
0.48542257643028086,0.117788555927085,0.125785473133611,0.12900207537831
0.48701412586119974,0.117689970914143,0.125736634663969,0.128973864214554
0.48860567529211874,0.117591108811898,0.125687645932975,0.128945563804487
0.4901972247230377,0.117491970058328,0.12563850703359,0.128917174178257
0.4917887741539566,0.117392555092703,0.125589218059059,0.128888695366109
0.4933803235848756,0.11729286435558,0.12553977910291,0.128860127398379
0.4949718730157945,0.117192898288804,0.125490190258956,0.128831470305499
0.4965634224467135,0.117092657335507,0.125440451621291,0.128802724117997
0.4981549718776324,0.116992141940106,0.125390563284297,0.128773888866495
0.4997465213085514,0.116891352548302,0.125340525342635,0.128744964581708
0.5013380707394703,0.116790289607081,0.12529033789125,0.128715951294447
0.5029296201703893,0.116688953564709,0.125240001025372,0.128686849035617
0.5045211696013082,0.116587344870734,0.125189514840512,0.128657657836218
0.5061127190322272,0.116485463975984,0.125138879432464,0.128628377727345
0.5077042684631461,0.116383311332565,0.125088094897303,0.128599008740184
0.5092958178940651,0.116280887393862,0.125037161331388,0.128569550906019
0.5108873673249841,0.116178192614538,0.124986078831358,0.128540004256228
0.5124789167559031,0.116075227450528,0.124934847494137,0.128510368822281
0.514070466186822,0.115971992359044,0.124883467416927,0.128480644635743
0.5156620156177409,0.115868487798573,0.124831938697213,0.128450831728275
0.5172535650486598,0.115764714228871,0.124780261432762,0.128420930131631
0.5188451144795788,0.115660672110968,0.124728435721619,0.128390939877658
0.5204366639104978,0.115556361907163,0.124676461662114,0.128360860998298
0.5220282133414168,0.115451784081026,0.124624339352854,0.128330693525588
0.5236197627723357,0.115346939097393,0.124572068892728,0.128300437491658
0.5252113122032547,0.115241827422369,0.124519650380906,0.128270092928731
0.5268028616341736,0.115136449523324,0.124467083916837,0.128239659869126
0.5283944110650926,0.115030805868894,0.124414369600248,0.128209138345255
0.5299859604960115,0.114924896928978,0.12436150753115,0.128178528389623
0.5315775099269304,0.114818723174741,0.12430849780983,0.12814783003483
0.5331690593578494,0.114712285078605,0.124255340536856,0.12811704331357
0.5347606087887683,0.114605583114257,0.124202035813073,0.128086168258629
0.5363521582196873,0.114498617756642,0.124148583739607,0.128055204902889
0.5379437076506063,0.114391389481965,0.124094984417862,0.128024153279324
0.5395352570815253,0.114283898767689,0.124041237949521,0.127993013421001
0.5411268065124442,0.114176146092533,0.123987344436543,0.127961785361083
0.5427183559433632,0.114068131936471,0.123933303981167,0.127930469132826
0.544309905374282,0.113959856780734,0.123879116685911,0.127899064769577
0.545901454805201,0.113851321107806,0.123824782653568,0.127867572304778
0.54749300423612,0.113742525401424,0.12377030198721,0.127835991771967
0.549084553667039,0.113633470146575,0.123715674790185,0.127804323204771
0.5506761030979579,0.1135241558295,0.123660901166121,0.127772566636914
0.5522676525288769,0.113414582937687,0.12360598121892,0.12774072210221
0.5538592019597958,0.113304751959875,0.123550915052761,0.12770878963457
0.5554507513907148,0.113194663386049,0.123495702772101,0.127676769267995
0.5570423008216338,0.113084317707443,0.123440344481671,0.12764466103658
0.5586338502525526,0.112973715416536,0.123384840286481,0.127612464974515
0.5602253996834716,0.112862857007051,0.123329190291814,0.127580181116081
0.5618169491143906,0.112751742973956,0.123273394603231,0.127547809495653
0.5634084985453095,0.112640373813461,0.123217453326566,0.127515350147699
0.5650000479762285,0.112528750023021,0.12316136656793,0.12748280310678
0.5665915974071474,0.112416872101329,0.123105134433709,0.12745016840755
0.5681831468380664,0.11230474054832,0.123048757030563,0.127417446084754
0.5697746962689854,0.112192355865167,0.122992234465427,0.127384636173234
0.5713662456999042,0.112079718554283,0.122935566845511,0.127351738707922
0.5729577951308232,0.111966829119316,0.122878754278298,0.127318753723842
0.5745493445617421,0.111853688065153,0.122821796871546,0.127285681256114
0.5761408939926611,0.111740295897915,0.122764694733286,0.127252521339947
0.5777324434235801,0.111626653124959,0.122707447971824,0.127219274010645
0.5793239928544991,0.111512760254875,0.122650056695738,0.127185939303604
0.580915542285418,0.111398617797486,0.122592521013879,0.127152517254314
0.582507091716337,0.111284226263846,0.122534841035372,0.127119007898354
0.5840986411472558,0.111169586166242,0.122477016869615,0.1270854112714
0.5856901905781748,0.111054698018191,0.122419048626276,0.127051727409216
0.5872817400090938,0.110939562334437,0.122360936415298,0.127017956347663
0.5888732894400128,0.110824179630956,0.122302680346896,0.12698409812269
0.5904648388709317,0.110708550424949,0.122244280531555,0.126950152770341
0.5920563883018507,0.110592675234846,0.122185737080033,0.126916120326753
0.5936479377327696,0.1104765545803,0.12212705010336,0.126882000828152
0.5952394871636886,0.110360188982192,0.122068219712835,0.126847794310859
