gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
2.021267777267071075e+00,1.145441311277847031e-04,1.059859797594031594e-02,1.797013481101826862e-02
2.037183271576260335e+00,2.305415663308140730e-04,1.038366514197716119e-02,1.779904400299845216e-02
2.053098765885450039e+00,3.405804361950679621e-04,1.016999308865335419e-02,1.762778761942410816e-02
2.069014260194639299e+00,4.446808839094243100e-04,9.957623758241780643e-03,1.745638733392328862e-02
2.084929754503829002e+00,5.428670059469386253e-04,9.746597790412857634e-03,1.728486500566159961e-02
2.100845248813018706e+00,6.351668068909183899e-04,9.536956525239653065e-03,1.711324228890565013e-02
2.116760743122207966e+00,7.216121611648959383e-04,9.328739927961619827e-03,1.694154094118903095e-02
2.132676237431397670e+00,8.022387563672003568e-04,9.121987352666604057e-03,1.676978160775994750e-02
2.148591731740586930e+00,8.770860486837689417e-04,8.916738024511738567e-03,1.659798873280735054e-02
2.164507226049777078e+00,9.461972051566704817e-04,8.713029901807575403e-03,1.642618109062090118e-02
2.180422720358966338e+00,1.009619046884758023e-03,8.510901106232853647e-03,1.625438105016204643e-02
2.196338214668156041e+00,1.067401995204167930e-03,8.310388688979084004e-03,1.608260997065315626e-02
2.212253708977345301e+00,1.119600005526887000e-03,8.111529080304151484e-03,1.591088946616977043e-02
2.228169203286535005e+00,1.166270504566915443e-03,7.914358159876733190e-03,1.573924064408709772e-02
2.244084697595724709e+00,1.207474331077220591e-03,7.718911231208437120e-03,1.556768479360555978e-02
2.260000191904913969e+00,1.243275651757745929e-03,7.525222866304746502e-03,1.539624242336352228e-02
2.275915686214103673e+00,1.273741908143971591e-03,7.333326814770208153e-03,1.522493666585554399e-02
2.291831180523292932e+00,1.298943734689407938e-03,7.143256678622754950e-03,1.505378645945538996e-02
2.307746674832482636e+00,1.318954885368198247e-03,6.955044697124778547e-03,1.488281352510763093e-02
2.323662169141672340e+00,1.333852157676250700e-03,6.768722875809565949e-03,1.471203857130726385e-02
2.339577663450861600e+00,1.343715309360816361e-03,6.584322424816556156e-03,1.454148198308206387e-02
2.355493157760051304e+00,1.348626994068415595e-03,6.401873760406530042e-03,1.437116576020681415e-02
2.371408652069240564e+00,1.348672652240429180e-03,6.221406754861234789e-03,1.420110917532826922e-02
2.387324146378430267e+00,1.343940440641747548e-03,6.042950468010235658e-03,1.403133316731552949e-02
2.403239640687619971e+00,1.334521174699053805e-03,5.866533218831266640e-03,1.386185801556903859e-02
2.419155134996809231e+00,1.320508146320919975e-03,5.692182652482793113e-03,1.369270399235020599e-02
2.435070629305998935e+00,1.301997244896107566e-03,5.519925640690131335e-03,1.352389132957015384e-02
2.450986123615188195e+00,1.279086532162845066e-03,5.349788379143380172e-03,1.335544006651516111e-02
2.466901617924377899e+00,1.251876474206172016e-03,5.181796253432816197e-03,1.318737011330757894e-02
2.482817112233567602e+00,1.220469676314823006e-03,5.015973931139918601e-03,1.301970132331403684e-02
2.498732606542756862e+00,1.184970835555252842e-03,4.852345312922287136e-03,1.285245341526780778e-02
2.514648100851946566e+00,1.145486638113835023e-03,4.690933565839375784e-03,1.268564576422948932e-02
2.530563595161135826e+00,1.102125658688869097e-03,4.531761056659655736e-03,1.251929805112172826e-02
2.546479089470325530e+00,1.054998272761666685e-03,4.374849414796843673e-03,1.235342950202368041e-02
2.562394583779515234e+00,1.004216550886593120e-03,4.220219462877124530e-03,1.218805931199051784e-02
2.578310078088704493e+00,9.498941635253023040e-04,4.067891332844065372e-03,1.202320660089173029e-02
2.594225572397894197e+00,8.921462795780307764e-04,3.917884257804780078e-03,1.185889006766969837e-02
2.610141066707083901e+00,8.310894662701663821e-04,3.770216778880888017e-03,1.169512875030533604e-02
2.626056561016273161e+00,7.668415880212234954e-04,3.624906614386965136e-03,1.153194098627668279e-02
2.641972055325462865e+00,6.995217058773141056e-04,3.481970695304035732e-03,1.136934542564818802e-02
2.657887549634652125e+00,6.292499744299277168e-04,3.341425187158065819e-03,1.120736043006227527e-02
